Name,Attendance/Record,Class,Day,Date,Edits,From/To,Topics,Type,day
CSA,,Computer System Architecture,Monday,02/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,03/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,04/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,06/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,03/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,04/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,05/08/2021,,,,📒 Lesson,
Economics,,Economics,Friday,06/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,02/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Tuesday,03/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,04/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Friday,06/08/2021,,,,📒 Lesson,
Economics,,Economics,Monday,02/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,06/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,02/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,03/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,04/08/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,02/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,03/08/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,04/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Monday,02/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,03/08/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,05/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,02/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,06/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,06/08/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,09/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,10/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,11/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,13/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,10/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,11/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,12/08/2021,,,,📒 Lesson,
Economics,,Economics,Friday,13/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,09/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Tuesday,10/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,11/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Friday,13/08/2021,,,,📒 Lesson,
Economics,,Economics,Monday,09/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,13/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,09/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,10/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,11/08/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,09/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,10/08/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,11/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 3,Monday,09/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,10/08/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,12/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,09/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,13/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,13/08/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,Attended,Computer System Architecture,Monday,16/08/2021,,,"Bits and weight, Introduction",📒 Lesson,
DSA,Attended,Data Structures and Algorithms,Tuesday,17/08/2021,,,"BCD, Conversion of Grey to Binary and vice versa, Grey Code, Logic Gates",📒 Lesson,
OOPS,Attended,Object Oriented Programming,Wednesday,18/08/2021,,,Universal Gates,📒 Lesson,
CSA,Attended,Computer System Architecture,Friday,20/08/2021,,,,📒 Lesson,
CSA,Attended,Computer System Architecture,Tuesday,17/08/2021,,,Introduction,📒 Lesson,
DSA,Attended,Data Structures and Algorithms,Wednesday,18/08/2021,,,Types of transfer,📒 Lesson,
OOPS Lab,Attended,Object Oriented Programming Lab,Thursday,19/08/2021,,,"Data link layer, Physical layer - Bits: synchronizationrate controlPhysical Topologies, Presentation Layer",📒 Lesson,
Economics,Attended,Economics,Friday,20/08/2021,,,,📒 Lesson,
OOPS,Attended,Object Oriented Programming,Monday,16/08/2021,,,Introduction,📒 Lesson,
EM - III,Attended,Engineering Mathematics 4,Tuesday,17/08/2021,,,Introduction,📒 Lesson,
CSA,Attended,Computer System Architecture,Wednesday,18/08/2021,,,"Array, Data structure introduction",📒 Lesson,
EM - III,Attended,Engineering Mathematics 4,Friday,20/08/2021,,,"Graph Introduction, Tree Introduction",📒 Lesson,
Economics,Cancelled,Economics,Monday,16/08/2021,,,Introduction,📒 Lesson,
DC,Cancelled,Data Communication,Friday,20/08/2021,,,,📒 Lesson,
OOPS,Attended,Object Oriented Programming,Monday,16/08/2021,,,Introduction,📒 Lesson,
DSA Lab,Attended,Data Structures and Algorithms Lab,Tuesday,17/08/2021,,,"Law, Micro Economics, Utility Theory",📒 Lesson,
DSA,Attended,Data Structures and Algorithms,Wednesday,18/08/2021,,,"Law of Diminising Marginality, Marginal Utility",📒 Lesson,
DC,Attended,Data Communication,Monday,16/08/2021,,,Introduction,📒 Lesson,
OOPS,Cancelled,Object Oriented Programming,Tuesday,17/08/2021,,,,📒 Lesson,
DC,Cancelled,Data Communication,Wednesday,18/08/2021,,,,📒 Lesson,
EM - III,Attended,Engineering Mathematics 4,Monday,16/08/2021,,,Introduction,📒 Lesson,
OOPS Lab,Attended,Object Oriented Programming Lab,Tuesday,17/08/2021,,,"Class, Objects",📒 Lesson,
Economics,Rescheduled,Economics,Thursday,19/08/2021,,,,📒 Lesson,
DSA,Cancelled,Data Structures and Algorithms,Monday,16/08/2021,,,Introduction,📒 Lesson,
